_venue	_frequeny	algorithms	applied mathematics	applied psychology	bioinformatics	biomedical imaging	communications	computational geometry	computer-aided design	computer graphics	cryptology	digital libraries	data managment	electronics	expert systems	geoscience	graph drawing	high performance computing	human-computer interaction	image processing	information retrieval	information visualization	Internet technology	machine learning	multimedia	natural language processing	neural networks	parallel computing	scientific computing	scientometrics	sensors	signal processing	software engineering	speech technology	theoretical computer science	robotics	vehicular  technology	video technology	virtual/mixed reality	vision	visual analytics	visual languages	visualization
'CoRR'	4165																																										
'IEEE Trans. Vis. Comput. Graph.'	2255																																										
'Comput. Graph. Forum'	1992																																										
'ACM Trans. Graph.'	1701									1																																	
Medical Image Computing and Computer-Assisted Intervention'	1029				1	1																																					
'IEEE Computer Graphics and Applications'	924																																										
'International Conference on Computer Graphics and Interactive Techniques'	785									1																																	
'Graphics'	737									1																																	
'The Visual Computer'	687																																										
'CHI Conference on Human Factors in Computing Systems'	652																		1																								
'Annual Conference on Computer Graphics and Interactive Techniques'	556									1																																	
'IEEE International Symposium on Biomedical Imaging: From Nano to Macro'	528				1	1																																					
'Computer Vision'	515																																							1			
'IEEE Trans. Med. Imaging'	481				1	1																																					
'International Conference on Information Visualisation'	481																					1																					1
'IEEE Conference on Computer Vision and Pattern Recognition'	468																																							1			
'Bioinformatics'	463				1																																						
'IEEE International Conference on Robotics and Automation'	461																																			1							
'International Conference on Image Processing'	450																			1																							
NeuroImage'	438				1	1																																					
'International Conference on Human Factors in Computing Systems'	434																		1																								
'Commun. ACM'	433																																										
'IEEE International Conference on Acoustics'	432																															1											
'IEEE Visualization'	431																																										1
'IEEE Trans. Pattern Anal. Mach. Intell.'	422																							1																1			
'Bildverarbeitung für die Medizin'	420				1	1																																					
'IEEE International Conference on Communications'	403						1																																				
'International Conference on Pattern Recognition'	400																							1																1			
'BMC Bioinformatics'	399				1																																						
'Neurocomputing'	399																							1																			
'IEEE Computer Society Conference on Computer Vision and Pattern Recognition'	389																							1																1			
'IEEE International Conference on Multimedia and Expo'	388																								1																		
'Conference on Human Factors in Computing Systems'	385																		1																								
'Computer-Aided Design'	375								1																																		
'Graph Drawing'	345																1																										
'IEEE International Conference on Computer Vision'	345																																							1			
'IEEE Conference on Visual Analytics Science and Technology'	338																																								1		1
'Journal of Visualization and Computer Animation'	319									1																																	1
'IEEE Trans. Image Processing'	313																			1																							
'Human-Computer Interaction'	313																		1																								
'Visualization and Data Analysis'	308																																										1
'Pattern Recognition'	306																							1																			
'IEEE Visualization Conference'	305																																										1
'IEEE International Geoscience and Remote Sensing Symposium'	303															1																											
'ACM SIGMOD International Conference on Management of Data'	302												1																														
'Advances in Visual Computing'	295																																										
'Annual ACM Symposium on User Interface Software and Technology'	292																		1																								
'Sensors'	289																														1												
'IEICE Transactions'	286																																										
'IEEE International Conference on Image Processing'	285																		1																								
'Graphics Interface Conference'	284																																										
'Medical Image Analysis'	283				1																			1																			
'IEEE Computer'	282																																										
'IEEE Virtual Reality Conference'	280																																						1				
'IEEE/RSJ International Conference on Intelligent Robots and Systems'	280																																			1							
'Proceedings IEEE Visualization'	275																																										1
'IEEE Symposium on Information Visualization'	268																					1																					1
'Vision'	264																																							1			
'Information Visualization'	262																					1																					1
'International Conference on Intelligent User Interfaces'	260																		1																								
'Eurographics'	260									1																																	
'J. Comput. Physics'	251																												1														
'IEEE Vehicular Technology Conference'	250																																				1						
'IEEE Pacific Visualization Symposium'	248																																										1
'Int. J. Computer Assisted Radiology and Surgery'	244				1	1																																					
'PVLDB'	244												1																														
'Computer Aided Geometric Design'	243								1																																		
'Pacific Conference on Computer Graphics and Applications'	235																																										
'IEEE International Symposium on Biomedical Imaging'	232				1	1																																					
'Multimedia Tools Appl.'	230																																						1				
'International Conference on Data Engineering'	226												1																														
'IEEE Trans. Knowl. Data Eng.'	224												1																														
'IEEE International Conference on Systems'	221																																										
'IEEE Trans. Industrial Electronics'	217													1																													
'Applied Mathematics and Computation'	216		1																										1														
'IEEE Trans. Biomed. Engineering'	213				1																																						
'International Journal of Computer Vision'	209																																							1			
'Comput. Geom.'	208							1																																			
'IEEE International Conference on Robotics and Biomimetics'	205																																			1							
'ACM SIGKDD International Conference on Knowledge Discovery and Data Mining'	205																							1																			
'Annual International Conference of the IEEE Engineering in Medicine and Biology Society'	205				1																																						
'Symposium on Interactive 3D Graphics'	204																																										
'International Conference on Fuzzy Systems and Knowledge Discovery'	203																							1																			
'Inf. Sci.'	202																																										
'ACM Symposium on Virtual Reality Software and Technology'	201																																						1				
'ACM International Conference on Multimedia'	201																								1																		
'Nucleic Acids Research'	194				1																																						
'INTERSPEECH'	192																																	1									
'IEEE Trans. Parallel Distrib. Syst.'	185																											1															
'Advances in Neural Networks'	185																							1			1																
'IEEE Trans. Geoscience and Remote Sensing'	181															1															1												
'International Conference on Parallel Processing'	181																											1															
'Information Processing in Medical Imaging'	180				1	1																																					
'IEEE Virtual Reality'	180																																						1				
'IEEE International Conference on Data Mining'	180																							1																			
AMIA , American Medical Informatics Association Annual Symposium'	180				1																																						
'Hawaii International Conference on System Sciences'	180																																										
'SCIENCE CHINA Information Sciences'	174																																										
'International Conference on World Wide Web'	174																						1																				
'IEEE Trans. Multimedia'	173																								1																		
'Extended Abstracts  Conference on Human Factors in Computing Systems'	173																		1																								
'Signal Processing'	171																															1											
'J. Comput. Sci. Technol.'	170																																										
'SIAM J. Scientific Computing'	166																												1														
'Expert Syst. Appl.'	165														1																												
'Pattern Recognition Letters'	163																							1																			
'Computational Geometry'	162							1																																			
'Presence'	161																																						1				
'International Conference on Software Engineering'	161																																1										
'ACM SIGCHI Conference on Human Factors in Computing Systems'	160																		1																								
'International Conference on Multimedia'	158																								1																		
'Computational Science'	157																												1														
'IEEE Symposium on 3D User Interfaces'	157									1																																	
'IEEE International Symposium on Mixed and Augmented Reality'	157																																						1				
'International Joint Conference on Neural Networks'	157																							1			1																
'IEEE Wireless Communications and Networking Conference'	157						1																																				
'Visualization'	156																																										1
'IEEE International Geoscience & Remote Sensing Symposium'	156															1																											
'Computing in Science and Engineering'	155																												1														
'Graphical Models'	154																																										
'Future Generation Comp. Syst.'	153																																										
'Computer Vision and Image Understanding'	153																																							1			
'IEEE Global Communications Conference'	153						1																																				
